2026-06-12 02:00:33 | INFO     | ingest:715 | Workspace Audit Verified: Perfect data structure match. All 11 compliance manuals accounted for.
2026-06-12 02:00:33 | INFO     | ingest:577 | =========================================================================
2026-06-12 02:00:33 | INFO     | ingest:578 | LAUNCHING ENTERPRISE REGULATORY COMPLIANCE RAG INGESTION PIPELINE
2026-06-12 02:00:33 | INFO     | ingest:579 | Targeting Source Workspace: C:\Users\raghava\OneDrive\Desktop\regulatory_rag\data
2026-06-12 02:00:33 | INFO     | ingest:580 | =========================================================================
2026-06-12 02:00:33 | INFO     | ingest:593 | Workspace Scan complete. Identified 11 source compliance files for structural ingestion processing.
2026-06-12 02:00:33 | INFO     | ingest:604 | Processing structural pipeline workflow states for: Basel_III_2017.pdf.pdf
2026-06-12 02:00:33 | INFO     | ingest:147 | Initiating binary text extraction sequence for: Basel_III_2017.pdf.pdf
2026-06-12 02:00:33 | ERROR    | ingest:185 | Critical execution fault during parsing phase of Basel_III_2017.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | ERROR    | ingest:634 | Pipeline Interruption [Basel_III_2017.pdf.pdf]: Processing failure profile -> Failed parsing PDF structures for data\Basel_III_2017.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | INFO     | ingest:604 | Processing structural pipeline workflow states for: Basel_LCR_2013.pdf.pdf
2026-06-12 02:00:33 | INFO     | ingest:147 | Initiating binary text extraction sequence for: Basel_LCR_2013.pdf.pdf
2026-06-12 02:00:33 | ERROR    | ingest:185 | Critical execution fault during parsing phase of Basel_LCR_2013.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | ERROR    | ingest:634 | Pipeline Interruption [Basel_LCR_2013.pdf.pdf]: Processing failure profile -> Failed parsing PDF structures for data\Basel_LCR_2013.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | INFO     | ingest:604 | Processing structural pipeline workflow states for: Basel_Market_Risk_2019.pdf.pdf
2026-06-12 02:00:33 | INFO     | ingest:147 | Initiating binary text extraction sequence for: Basel_Market_Risk_2019.pdf.pdf
2026-06-12 02:00:33 | ERROR    | ingest:185 | Critical execution fault during parsing phase of Basel_Market_Risk_2019.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | ERROR    | ingest:634 | Pipeline Interruption [Basel_Market_Risk_2019.pdf.pdf]: Processing failure profile -> Failed parsing PDF structures for data\Basel_Market_Risk_2019.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | INFO     | ingest:604 | Processing structural pipeline workflow states for: Basel_NSFR_2014.pdf.pdf
2026-06-12 02:00:33 | INFO     | ingest:147 | Initiating binary text extraction sequence for: Basel_NSFR_2014.pdf.pdf
2026-06-12 02:00:33 | ERROR    | ingest:185 | Critical execution fault during parsing phase of Basel_NSFR_2014.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | ERROR    | ingest:634 | Pipeline Interruption [Basel_NSFR_2014.pdf.pdf]: Processing failure profile -> Failed parsing PDF structures for data\Basel_NSFR_2014.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
2026-06-12 02:00:33 | INFO     | ingest:604 | Processing structural pipeline workflow states for: RBI_Agency_Commission_2026.pdf.pdf
2026-06-12 02:00:33 | INFO     | ingest:147 | Initiating binary text extraction sequence for: RBI_Agency_Commission_2026.pdf.pdf
2026-06-12 02:00:33 | ERROR    | ingest:185 | Critical execution fault during parsing phase of RBI_Agency_Commission_2026.pdf.pdf: 'PDF' object has no attribute 'is_encrypted'
